loss,accuracy
2.394919276237488,71.4
2.0235607028007507,72.6
2.350891798734665,74.7
2.230158030986786,71.9
2.1352177262306213,71.8
2.1835702061653137,72.5
2.513549357652664,72.4
2.3761903643608093,73.5
2.152839809656143,73.3
2.2160463333129883,73.7
2.0922540426254272,72.1
2.2077934741973877,72.0
2.392509549856186,72.0
2.4310605227947235,72.8
2.078789860010147,74.0
2.266501307487488,73.4
2.4278435707092285,71.5
2.372395545244217,71.2
2.336806446313858,72.4
2.1812400817871094,73.4
2.12737999856472,74.8
2.3317780792713165,71.7
2.2357224822044373,72.5
2.2524030804634094,72.9
2.2876249253749847,71.2
2.327029198408127,73.2
2.5163141191005707,71.1
2.334628105163574,70.7
1.9617225527763367,73.9
2.091599762439728,73.3
2.1128661036491394,72.8
2.199094533920288,71.4
2.5503189265727997,72.1
2.194072961807251,73.3
2.0332565754652023,74.9
2.3122122287750244,72.0
2.0766381919384003,74.4
2.263734310865402,72.1
2.3038298785686493,72.6
2.1931107938289642,73.3
2.4016501903533936,71.0
2.38116717338562,70.8
2.371714621782303,71.4
2.2861326336860657,70.9
2.1507837176322937,73.3
2.3804794251918793,72.4
2.1653217375278473,74.5
2.3345359563827515,72.2
2.315365105867386,72.3
2.377913177013397,72.0
2.1628796607255936,72.8
2.236833482980728,72.8
2.354870766401291,70.7
2.1233979165554047,74.8
2.136836439371109,74.3
2.1928724348545074,73.9
2.3192116618156433,72.3
2.475240021944046,72.2
2.0260456204414368,74.9
2.583469122648239,71.3
2.308063954114914,72.9
2.139475554227829,73.0
2.307481497526169,72.9
2.123928487300873,73.1
2.230623960494995,72.4
2.426884561777115,71.6
2.0228366553783417,74.7
2.497303545475006,69.7
1.9957279413938522,75.3
2.4469990134239197,69.7
2.2045701444149017,73.7
2.0581074953079224,72.7
2.391062080860138,71.1
2.4188701510429382,71.7
2.294991135597229,71.6
2.2549896240234375,72.3
2.5719431936740875,70.9
2.269600495696068,71.6
2.308560609817505,71.2
2.262775182723999,72.2
2.362106055021286,73.2
2.3319201171398163,72.9
2.181993156671524,74.1
2.218436509370804,72.4
2.4602712094783783,70.2
2.1731171011924744,72.0
2.1688447296619415,73.1
2.1800010204315186,73.1
2.0759879052639008,74.4
1.9873554408550262,74.4
2.2727174162864685,72.9
2.3401547372341156,72.7
2.4774162471294403,73.1
2.2294821739196777,72.7
2.5535549223423004,72.1
2.243152365088463,73.9
2.2711863815784454,71.5
2.079492837190628,74.6
2.54437392950058,70.7
2.2417061924934387,72.6
2.401479482650757,70.5
2.2650445699691772,73.5
2.3732041716575623,71.7
2.2365891337394714,74.4
2.118571788072586,70.7
2.4375448524951935,73.6
1.8198408484458923,75.3
2.5423546135425568,71.1
2.241420656442642,71.3
2.147103428840637,74.3
2.5740272998809814,72.2
2.6803850531578064,69.5
2.5150022208690643,69.6
2.41767618060112,70.8
2.1653468012809753,73.8
2.367388516664505,72.0
2.375518560409546,72.5
2.198441207408905,72.8
2.288262188434601,71.5
2.3946077823638916,70.8
2.28826904296875,71.8
2.1584475934505463,73.6
2.41275691986084,69.8
2.335090607404709,72.5
2.778858631849289,67.9
2.212384134531021,72.3
2.0839808583259583,71.6
2.2015887200832367,72.6
2.127759039402008,74.2
2.339450776576996,70.4
2.0827274322509766,73.1
2.20476958155632,72.8
2.128564238548279,72.4
2.1939640939235687,71.5
2.296982616186142,71.2
2.3409817814826965,73.1
2.034092217683792,74.7
2.2625948786735535,72.8
2.1976750195026398,74.6
2.481508642435074,73.7
2.2307673394680023,73.3
2.4166153371334076,70.4
2.2185799181461334,73.0
2.5060064494609833,70.9
2.628832846879959,71.4
2.43669930100441,72.3
2.138795793056488,72.6
2.0766464173793793,74.9
2.1158960461616516,74.1
2.33720126748085,70.5
2.0423117578029633,71.9
2.3763367831707,72.8
2.1672096252441406,75.8
2.314874827861786,72.5
2.4810007512569427,72.6
2.128512442111969,74.1
2.3508926928043365,71.2
2.2307433784008026,74.4
2.039145439863205,74.3
2.297307252883911,74.2
2.345721572637558,71.7
2.301175683736801,71.3
2.364387333393097,71.4
2.4421632289886475,71.1
2.358636289834976,72.2
2.569006025791168,71.9
2.1518089175224304,71.5
2.170506477355957,73.1
2.3947243690490723,70.4
2.2660085260868073,71.5
2.3991163671016693,71.2
2.0256230384111404,73.1
2.4982153475284576,70.7
2.2095837891101837,73.1
2.3845439553260803,72.2
2.244838058948517,70.6
2.3677971363067627,71.4
2.4799611568450928,71.4
2.3100508749485016,71.8
2.483630895614624,70.9
2.3230809569358826,71.5
2.3116205632686615,72.6
2.490295797586441,71.0
2.027797818183899,73.1
2.3425665199756622,72.3
2.2385575473308563,70.4
2.2692691385746,73.9
2.172420769929886,72.9
2.3373054414987564,71.6
2.4608903229236603,72.0
2.5452115535736084,71.2
2.049157291650772,73.0
2.0449132323265076,74.0
2.3907388746738434,70.2
2.453890711069107,72.7
1.9757844060659409,73.1
2.2170464992523193,73.7
2.486439347267151,70.9
2.3350440859794617,73.1
1.9691770821809769,75.6
2.3870959877967834,70.5
2.2720340490341187,71.8
2.209764242172241,71.9
2.0009913742542267,74.2
2.074337363243103,74.5
2.1075301468372345,73.8
2.324737399816513,71.5
2.1926605105400085,74.9
2.0324066281318665,74.7
2.175268307328224,73.4
2.514848619699478,70.4
2.259896457195282,72.5
2.1795763075351715,73.2
2.3066924810409546,72.2
2.420995533466339,71.3
2.628930926322937,72.1
2.448427587747574,71.9
2.638002425432205,69.3
2.2404017746448517,71.9
2.2632911801338196,73.6
2.231184631586075,72.9
2.2779452800750732,71.3
2.046367973089218,72.9
2.2823267579078674,71.6
2.2384783029556274,73.0
2.3145536184310913,73.3
2.3163945972919464,73.1
2.1430658400058746,74.6
2.1213822662830353,73.0
2.185849040746689,73.1
2.47094389796257,71.4
2.303008645772934,72.5
2.156627267599106,70.9
2.3224616944789886,73.2
2.2329637110233307,71.9
2.192631334066391,71.6
2.353927820920944,71.2
2.007220983505249,72.8
2.2191516757011414,72.5
2.0678269267082214,74.0
2.278191238641739,71.2
2.3427148163318634,71.3
2.299782484769821,72.4
2.435225933790207,72.9
2.377625972032547,70.4
2.1900295317173004,72.7
2.08635413646698,75.4
2.1843388974666595,74.2
2.2455238103866577,71.6
2.388653039932251,71.0
2.4002618491649628,72.4
2.202248901128769,74.0
1.9808024764060974,74.3
2.3901439011096954,73.5
2.0111373364925385,75.4
1.9214991331100464,74.0
2.228624314069748,73.4
2.444140613079071,71.7
2.4908685982227325,72.2
2.263351082801819,70.5
2.430731028318405,70.6
2.3417759835720062,72.8
2.4551198482513428,71.1
2.3358066380023956,71.7
2.2358548641204834,71.3
2.197114437818527,74.3
2.0203714668750763,74.7
2.33037793636322,71.9
1.9997316002845764,72.8
2.003970831632614,72.8
2.2320641577243805,73.5
2.2717629969120026,71.0
2.194482207298279,74.6
2.303863972425461,72.0
2.3626001179218292,71.2
2.0386650264263153,74.0
2.354721635580063,73.5
2.100239783525467,71.6
2.195053458213806,74.6
2.292051374912262,71.3
2.082397550344467,72.3
2.2539839148521423,70.7
2.3157812356948853,73.7
2.2165237069129944,72.3
2.2198597192764282,71.5
2.320265531539917,71.8
2.336410105228424,70.9
2.373117983341217,71.6
2.1933151483535767,73.5
2.16108438372612,73.8
2.5016916394233704,71.6
2.1681715548038483,72.8
2.3802062273025513,71.5
2.050977483391762,74.4
2.3835400342941284,71.3
2.4505107402801514,70.5
2.3927262127399445,72.2
2.2874457240104675,71.6
2.07222181558609,73.3
2.34987810254097,71.3
2.360163241624832,72.0
2.192942798137665,73.1
2.305746376514435,72.3
2.195686399936676,72.9
2.2593220472335815,72.8
2.3524624407291412,72.2
2.1625636219978333,75.0
2.2561356723308563,73.4
2.150398850440979,74.4
2.222893625497818,72.4
2.6114436089992523,70.9
2.5304827988147736,72.7
2.2476645410060883,71.2
2.2574961483478546,72.3
2.077086925506592,74.9
2.310620427131653,72.0
2.654437929391861,69.9
2.3718654811382294,74.1
2.187803417444229,73.8
1.9356714487075806,73.8
2.0982294976711273,72.5
2.2065652906894684,72.3
2.452425330877304,72.0
2.155468165874481,70.8
2.121242016553879,74.1
1.8982263952493668,75.3
2.0972042083740234,74.3
2.130538821220398,73.3
2.451854407787323,72.9
2.215223968029022,71.6
2.1317051351070404,73.1
2.4028289318084717,73.1
2.2329950034618378,72.3
2.2273996472358704,73.6
2.3421837091445923,72.1
2.0604128688573837,74.8
2.3285180032253265,71.5
2.3475297391414642,71.7
2.343200296163559,71.2
2.292825311422348,73.7
2.4200641214847565,72.9
2.3869772255420685,71.8
2.308358386158943,72.0
2.2300280332565308,71.4
2.2085249722003937,73.6
2.1340706944465637,72.1
2.568865180015564,71.0
2.3283656537532806,72.2
2.3693758845329285,73.3
2.2069524824619293,73.1
2.2066058218479156,73.6
2.111992374062538,74.3
2.424735277891159,72.2
2.367612063884735,72.7
2.5925737619400024,71.0
2.2284670174121857,71.7
2.2511709928512573,73.4
2.2661896646022797,72.0
2.3051619827747345,72.0
2.1777832210063934,72.8
