loss,accuracy
1.5633622109889984,76.7
2.221264362335205,69.4
2.077502489089966,69.1
1.4757670760154724,80.6
2.5080881118774414,65.3
2.378022849559784,69.2
2.0390737056732178,68.6
1.2265833616256714,79.6
1.6221718192100525,77.0
1.9017475843429565,74.1
1.8613762259483337,76.0
1.6668139100074768,76.3
1.6450237333774567,75.5
1.7619799971580505,74.6
2.0424778759479523,72.0
2.8365416526794434,61.6
2.3043092489242554,73.3
2.1618289947509766,73.3
2.623007655143738,65.4
2.570693075656891,66.4
1.6124317497015,77.8
1.5706633627414703,74.5
1.7266349792480469,77.4
1.8604905903339386,75.3
2.217847555875778,70.22977022977022
1.4119617640972137,78.7
2.118713766336441,73.8
2.214714676141739,70.4
1.5950064361095428,79.3
2.471346914768219,67.6
2.076153129339218,71.7
1.6636548340320587,78.0
2.275634914636612,70.8
1.9169629514217377,74.8
2.575292944908142,63.1
2.3735231459140778,65.8
2.422839015722275,68.2
2.641730785369873,66.6
1.626887947320938,77.2
1.4987822771072388,76.7
1.7460471391677856,76.4
2.675993263721466,63.3
1.7542257010936737,75.7
2.036776900291443,73.5
1.5934727787971497,79.3
2.074158549308777,71.8
2.3219619393348694,71.0
1.8903045654296875,72.8
1.5299128592014313,75.7
2.1050546765327454,71.1
1.7747949361801147,76.0
1.78607177734375,72.9
2.416599214076996,66.1
2.3037142753601074,67.9
1.7313346564769745,78.9
2.31326824426651,70.1
2.059818923473358,75.4
2.484587162733078,66.8
1.5993100702762604,76.5
1.9507772028446198,73.4
1.9648760557174683,75.4
2.2205097377300262,68.1
2.17014479637146,70.1
2.5470084846019745,64.0
2.3289756774902344,67.2
1.9724526703357697,71.4
2.7664701342582703,61.2
1.9625000059604645,72.4
1.9635359048843384,76.4
1.6934148669242859,76.8
2.2530597150325775,69.9
1.5360387563705444,79.9
2.8029987812042236,65.4
2.205405682325363,72.3
1.5980620980262756,76.6
2.1017975509166718,68.2
2.4591900408267975,69.3
2.2916116416454315,69.8
1.7880257368087769,76.7
1.6673936545848846,75.8
1.7160026729106903,74.0
2.3443054854869843,67.9
1.692236453294754,73.3
2.0148176848888397,71.6
2.539360284805298,65.7
1.948630839586258,75.1
1.6640396118164062,78.6
2.3383477926254272,67.3
2.015385091304779,70.7
1.917463779449463,72.6
1.8737658560276031,71.6
