loss,accuracy
1.9521791338920595,57.0
1.8407289385795595,59.1
1.7883478999137878,60.1
1.855583518743515,56.2
1.968084692955017,56.5
1.8611883223056795,59.6
1.9481139183044436,56.9
1.7236197888851166,59.0
1.8692282736301424,57.0
1.8977717161178589,56.2
1.9534592926502228,55.7
1.7962200939655304,58.1
1.9510692954063416,54.9
1.65265691280365,58.9
2.0013226568698883,54.5
1.784406989812851,58.6
2.0093791484832764,56.6
1.8479991853237152,55.9
1.9121918976306915,58.3
1.8075972497463224,57.9
1.86441034078598,57.6
1.9050793647766116,55.7
1.8467318415641785,58.1
1.814452052116394,58.3
1.932899922132492,57.4
1.8971191942691803,56.3
1.7993867099285126,58.0
1.8379322290420528,59.1
1.9241071939468384,56.8
1.8211351037025447,59.9
1.9167107343673704,57.7
1.9109769463539124,55.7
1.8212524056434631,58.0
1.8311282694339752,58.4
1.8818234205245967,57.5
1.9373315870761871,57.3
1.896044671535492,55.6
1.8521802723407743,56.8
1.895144373178482,57.9
1.8481768667697904,56.4
1.699796974658966,59.1
2.017974764108658,55.8
1.989298164844513,57.5
1.8738289177417755,57.3
2.0040681958198547,56.9
1.8797721564769745,60.0
2.001760333776474,56.9
1.902332067489624,56.5
1.7867870926856997,60.9
1.8468115031719208,57.1
1.9195522964000704,55.9
1.9053846895694733,56.7
1.8107415437698364,57.1
1.878511667251587,56.1
1.890418291091919,57.3
1.8573868572711945,58.0
1.9642724096775053,57.4
1.8590900897979736,58.6
1.875296801328659,55.4
1.7947868406772614,59.3
1.834600955247879,58.4
1.9317346215248108,58.3
1.9206437170505524,55.5
1.815812319517136,59.7
1.7470634281635284,60.7
1.7757379710674286,58.3
1.9970122575759888,55.5
1.9204364717006683,55.9
1.9238859713077543,54.4
1.90410840511322,56.5
1.7874018549919128,58.7
1.858439326286316,57.1
1.9408575892448423,56.1
1.7563422620296478,58.1
1.8705961406230929,59.0
1.8520746231079104,57.2
1.8003709316253662,59.3
1.8736680448055267,57.3
1.9061177670955656,56.7
1.7516750991344452,60.2
1.792961984872818,58.5
1.8614674806594849,56.1
1.910767197608948,58.0
1.9173143208026888,57.0
1.702158361673355,60.3
1.9720478653907776,54.6
1.87679186463356,57.4
1.981050729751587,55.7
1.8206028640270235,59.4
1.847114980220795,57.8
