loss,accuracy
1.8652961254119873,57.5
1.9247078597545624,58.6
1.9136132597923279,57.2
1.848677158355713,57.6
1.8669741749763489,58.6
1.8686329126358032,58.1
2.03198578953743,55.2
1.9454432427883148,55.3
1.858848661184311,57.8
1.8937416970729828,57.1
1.8960044085979462,56.3
1.843886375427246,59.4
1.900024265050888,55.3
1.9612351953983307,56.2
1.89387646317482,56.9
1.9731943607330322,55.5
1.7546786963939667,60.0
1.830213487148285,57.5
1.847488284111023,58.0
1.825000375509262,58.3
1.9138969480991364,58.7
1.8812351822853088,58.5
1.991038203239441,54.6
1.918630987405777,58.3
2.0457923412323,55.9
1.94588240981102,57.3
1.9850661158561707,56.0
1.906649112701416,55.9
1.9122292399406433,55.8
1.8633483350276947,57.3
1.7379279434680939,61.6
1.8738862574100494,57.3
2.0173339545726776,56.6
1.9370598196983337,59.2
1.848768025636673,59.4
1.9371072053909302,55.7
1.8004761338233948,58.0
1.8563056588172913,58.1
1.8771342635154724,56.8
1.8908395767211914,58.1
1.8036613166332245,57.1
1.8529150187969208,57.7
1.9524639248847961,54.9
1.8938482701778412,56.4
1.8167372196912766,58.3
1.8029695749282837,58.3
1.7636093199253082,59.6
2.035986304283142,55.5
1.829046368598938,58.9
1.8428975343704224,56.5
1.8881369233131409,57.7
1.8243297040462494,57.8
1.930655837059021,57.8
1.8227010071277618,58.9
1.91902494430542,57.4
1.8849745988845825,57.4
1.970663160085678,56.2
1.8447969853878021,58.7
1.93882417678833,57.8
1.965280294418335,56.1
1.8307989537715912,58.0
1.8559682965278625,57.9
1.843922346830368,57.2
1.886215478181839,58.4
1.8939858675003052,57.9
2.0036238729953766,57.5
1.8433460295200348,58.4
1.822442501783371,57.0
1.9025147557258606,57.2
1.9420399069786072,56.4
1.9307453632354736,57.2
1.8912273049354553,57.6
1.822097271680832,58.2
1.9249889552593231,57.6
1.960220843553543,56.9
1.872867077589035,58.4
1.9678881168365479,57.6
1.986045390367508,55.5
1.864485502243042,57.6
1.8858225047588348,57.2
1.8981014788150787,57.4
1.8017366230487823,58.9
1.8287639021873474,57.8
1.980582445859909,58.3
1.814734935760498,59.7
1.8812319338321686,56.8
1.7997342944145203,59.1
1.7364315390586853,60.3
1.9147743582725525,56.4
1.8811040818691254,55.7
2.027188688516617,57.6
1.7663329243659973,60.7
1.9441115260124207,55.3
1.9368241131305695,56.7
1.8728946149349213,58.4
1.7852310240268707,56.6
1.8327195644378662,58.4
1.9285497069358826,58.6
1.8783597648143768,59.7
1.899525374174118,57.5
1.842566579580307,57.2
1.7757205367088318,58.9
1.9523355960845947,55.1
1.914105474948883,56.8
1.9379393458366394,56.0
1.8821125328540802,57.8
1.9423295259475708,57.0
1.8988858461380005,56.1
1.862124651670456,58.2
2.0457756519317627,53.1
1.7788505554199219,60.3
1.9818609058856964,57.0
1.8523231148719788,57.7
1.891755223274231,56.3
1.8833538591861725,57.0
1.8530275523662567,58.8
1.8072524666786194,60.2
1.8725224137306213,58.5
1.889228105545044,58.5
1.9252538084983826,57.3
1.9620064198970795,55.4
1.9715931117534637,55.9
2.0085403323173523,54.5
1.9299468100070953,58.7
1.877997487783432,58.8
1.9186632335186005,56.1
1.9401390254497528,58.6
1.8709562420845032,59.1
1.9755066335201263,55.5
1.8735355138778687,55.6
1.8089569211006165,59.5
1.764083355665207,58.2
1.8785533607006073,59.6
1.902066558599472,56.1
1.9352891147136688,57.5
1.9872267842292786,55.2
2.0951986610889435,55.1
1.8639376163482666,58.6
2.0078290700912476,56.4
1.919993907213211,57.4
1.8150518536567688,58.0
1.868526577949524,57.4
1.7845382988452911,59.9
2.0116140246391296,55.0
1.8485684990882874,57.6
1.8669270277023315,58.0
1.87949737906456,59.1
1.921465426683426,57.3
1.9082509577274323,56.6
1.818031132221222,58.2
1.975046455860138,55.7
1.8394281268119812,58.7
1.9351394772529602,56.2
1.9261130690574646,56.4
1.9503713548183441,55.5
1.9168805181980133,56.8
1.8578757345676422,57.9
1.8308593928813934,57.9
1.86904576420784,56.8
1.9099582135677338,56.7
1.8045323491096497,57.8
1.8810555338859558,55.9
1.9176348447799683,57.4
1.9069673120975494,57.0
1.8924573361873627,56.7
2.0060323774814606,54.2
1.966727465391159,55.7
1.9530940055847168,57.1
1.8698572516441345,57.9
1.8737153708934784,58.2
1.9275973737239838,58.1
1.82541823387146,58.6
1.9116466045379639,58.5
1.9474527835845947,57.1
2.0421957671642303,56.4
1.8365602791309357,56.9
1.85086789727211,57.3
1.9316515624523163,57.3
1.7446687817573547,59.5
1.9160113334655762,58.2
1.8949996531009674,56.4
1.790746033191681,59.6
1.8713585138320923,58.1
1.808609664440155,58.5
1.9213617444038391,56.3
1.993398129940033,55.9
1.7687968015670776,60.6
1.8737871944904327,57.0
1.850147306919098,57.2
1.93740576505661,57.0
1.9533803761005402,57.3
1.9275844097137451,56.1
1.81816765666008,58.4
1.9594816863536835,56.0
1.8273456990718842,59.4
1.8249137103557587,58.9
1.895241916179657,59.0
1.893492579460144,56.2
1.8726858496665955,57.5
1.8648983836174011,56.7
1.8944593369960785,57.6
1.8166738450527191,58.9
1.926756739616394,56.7
1.8072550296783447,60.6
1.8405418992042542,57.2
1.880491018295288,57.6
1.8225905299186707,58.4
1.9958416819572449,55.1
1.7924748659133911,56.9
1.8161743581295013,56.6
1.8310023546218872,56.8
2.0004090666770935,54.3
1.96270951628685,57.0
1.8410673439502716,58.8
1.7806382477283478,58.3
1.9850506484508514,56.1
1.8255926966667175,58.6
1.8594412505626678,58.8
1.8196929395198822,60.4
1.8458688855171204,59.6
1.8364416360855103,57.8
1.8641476035118103,56.4
1.8487374186515808,59.1
1.9213947355747223,57.6
1.9168952703475952,57.3
1.9405489563941956,57.3
1.9029763638973236,56.3
1.8037565350532532,60.4
1.7923829555511475,57.6
1.9360519647598267,56.1
2.009158968925476,54.4
1.8917124569416046,56.9
1.8016587495803833,59.7
1.8239936828613281,57.3
1.7546383440494537,59.0
1.8021350502967834,58.0
1.9818276166915894,56.2
1.9048832952976227,56.7
1.879518747329712,56.6
1.896008312702179,55.4
1.9157386720180511,57.6
1.9047079384326935,56.7
1.8333696722984314,57.1
1.8947024941444397,58.0
1.8492448031902313,58.7
1.832165539264679,59.1
1.8581893742084503,58.0
1.8837640285491943,55.6
1.8080416023731232,58.4
1.8514261841773987,59.7
1.8152568340301514,58.0
1.8172593414783478,59.5
1.9212481379508972,57.9
1.772653490304947,58.8
1.984609216451645,56.4
1.8846352100372314,57.0
1.876219004392624,57.5
1.8988497853279114,58.1
1.9165252149105072,54.9
1.8502300381660461,56.9
1.8272674679756165,59.9
1.7696298360824585,58.3
1.8697399199008942,57.6
1.800525277853012,59.1
1.844657838344574,58.0
1.8940742313861847,57.9
1.8729444742202759,60.5
1.8140909671783447,59.1
1.9232541024684906,57.4
1.811908334493637,57.6
1.8840871751308441,58.2
1.9767943024635315,54.5
1.7361446022987366,61.2
1.899977684020996,57.8
1.969354122877121,56.4
1.6562316715717316,61.5
1.948016494512558,56.6
1.936732828617096,58.0
1.940082848072052,56.0
1.8504657745361328,58.3
1.9114406108856201,57.1
1.9647969007492065,56.1
2.0313823521137238,56.0
